field1|name|ra|dec|cluster_radius|rad_vel|rad_vel_error|num_cluster_stars|distance|log_age|log_age_error|field12
|Collinder 220|10 25 52|-57 54.9|0.14|-13.00|0.20|175|1465|8.57||
|Collinder 223|10 30 34|-59 51.3|0.115|8.46|3.59|89|1376|8.2||
|Collinder 236|10 57 22|-61 07.2|0.2|12.76|9.67|66|823|8.45||
|Collinder 268|13 18 16|-67 04.5|0.115|-27.18|0.30|64|1811|8.79||
|Collinder 269|13 23 51|-66 09.6|0.21|||129|1870|8.55||
|Collinder 275|13 34 32|-60 12.8|0.125|||110|1952|8.6||
|Collinder 292|15 50 02|-57 38.3|0.17|||141|1106|8.7|0.062|
|Collinder 333|17 31 37|-34 00.6|0.13|||19|1051|8.15||
|Collinder 338|17 38 12|-37 42.0|0.275|||297|698|8.05||
|Collinder 350|17 48 13|+01 21.6|0.55|-14.38|0.20|189|302|8.71|0.015|
|Collinder 351|17 49 02|-28 44.7|0.17|||50|1700|9.0||
|Collinder 359|18 00 29|+02 52.5|0.8|-4.57|0.19|463|640|7.45||
|Collinder 394|18 52 19|-20 12.0|0.3|-1.85|6.45|233|668|7.86||
|Collinder 419|20 18 07|+40 43.5|0.2|-8.30|0.10|187|871|7.1||
|Collinder 421|20 23 09|+41 41.7|0.21|||133|758|9.08|0.030|
|Collinder 463|01 49 12|+71 46.8|0.51|-7.19|0.28|567|800|8.45|0.066|
|Collinder 466|07 06 56|-10 43.2|0.095|||32|1037|8.405||
|Collinder 469|18 16 30|-18 18.0|0.135|||60|1277|8.0||
|Collinder 62|05 22 18|+41 01.5|0.235|||309|1472|8.905|0.037|
|Collinder 65|05 26 06|+15 40.2|1.5|21.84|1.17|1426|325|8.065||
|Collinder 69|05 35 20|+09 49.8|0.535|31.38|1.42|192|411|6.76||
|Collinder 89|06 19 12|+23 21.0|0.26|26.23|7.64|260|1021|7.825||
|Collinder 91|06 21 50|+02 22.4|0.255|-11.84||271|1467|8.64|0.036|
|Collinder 96|06 30 31|+02 50.7|0.11|12.00|7.40|31|1056|7.8||
|Collinder 97|06 31 41|+05 58.5|0.155|17.88|3.91|136|1259|8.4||
|Czernik 18|04 27 50|+30 56.7|0.14|||90|1263|8.68||
|Czernik 25|06 13 42|+06 57.2|0.205|||258|1861|8.52|0.044|
|Czernik 3|01 03 09|+62 47.2|0.08|||39|1600|8.8||
|Czernik 37|17 53 17|-27 21.9|0.125|||37|1668|8.77||
|Czernik 38|18 49 47|+04 57.6|0.165|||334|1763|7.3||
|Czernik 39|19 07 32|+04 20.0|0.11|||106|1143|7.8||
|Czernik 4|01 35 37|+61 27.8|0.07|-11.40|0.25|24|1632|7.715||
|Czernik 41|19 51 00|+25 16.2|0.075|||93|1540|8.47||
|Czernik 44|23 33 35|+61 56.3|0.1|||86|1536|7.5||
|Czernik 6|02 01 55|+62 51.0|0.115|||77|1391|7.98||
|Czernik 8|02 33 01|+58 46.1|0.09|||87|1410|8.175||
|Czernik 9|02 33 32|+59 52.5|0.09|||71|1900|8.75||
|DB2001 15|20 35 23|+42 22.1|0.12|||14|1728|6.6||
|DB2001 16|20 38 31|+42 06.3|0.09|-4.44||24|1413|6.9||
|DB2001 18|20 41 21|+41 58.8|0.095|||31|1190|8.9||
|DB2001 20|20 38 37|+42 39.4|0.08|||18|1818|7.5||
|DB2001 22|20 42 36|+42 56.8|0.085|||44|1891|7.235||
|DBSB 108|17 11 19|-45 54.0|0.06|||21|1620|7.6||
|DBSB 139|15 10 01|-58 25.6|0.062|-65.81||49|1950|7.5||
|DBSB 140|15 10 03|-58 17.2|0.075|-9.74||62|1535|7.3||
|DBSB 163|16 18 43|-50 19.0|0.08|||95|1258|8.32||
|DBSB 174|16 48 11|-45 21.0|0.05|-57.88||26|1710|7.4||
|DBSB 34|09 03 11|-47 49.0|0.065|||16|1736|8.15||
|DBSB 35|09 15 10|-47 27.9|0.12|||35|1678|6.8||
|DBSB 36|09 16 48|-47 56.7|0.13|21.05||18|748|7.5||
|DBSB 39|09 24 25|-53 08.2|0.06|||36|1864|7.4||
|DBSB 40|10 01 19|-57 42.3|0.06|-15.53||10|1358|7.985||
|DBSB 43|10 03 54|-59 17.7|0.085|||41|1940|6.0||
|DBSB 68|11 28 52|-63 06.3|0.07|||29|1777|8.525||
|DBSB 70|11 48 32|-62 17.1|0.08|||42|1274|7.7||
|DBSB 79|12 48 47|-63 43.7|0.085|||62|1489|8.4||
|DBSB 87|13 32 51|-60 27.3|0.075|||42|1791|8.0||
|DBSB 88|14 19 37|-65 25.9|0.085|||20|1366|7.85||
|DBSB 92|15 03 36|-57 40.8|0.1|||87|1963|7.4||
|Danks 1|13 12 31|-62 42.5|0.05|||20|1873|6.0||
|Dias 5|18 17 38|-19 39.6|0.135|-5.25|2.25|35|1289|8.1||
|Dias 6|18 30 32|-12 18.3|0.155|||144|1916|8.6||
|Dol-Dzim 2|05 23 53|+11 29.4|0.16|||64|1371|9.025|0.071|
|Dol-Dzim 4|05 35 50|+25 57.0|0.155|||103|1658|8.455|0.083|
|Dol-Dzim 6|16 45 31|+38 21.6|0.28|-46.10|25.27|25|946|9.45||
|Dolidze 1|20 09 42|+36 29.9|0.1|4.00|3.70|70|1445|7.6||
|Dolidze 11|20 26 28|+41 25.8|0.1|-14.00||60|1813|7.35||
|Dolidze 16|05 14 36|+32 39.6|0.15|||75|868|7.6||
|Dolidze 17|05 22 32|+07 09.6|0.145|||44|1031|9.18|0.023|
|Dolidze 19|05 23 43|+08 09.6|0.125|||34|1710|8.59|0.074|
|Dolidze 20|05 27 45|+33 47.1|0.125|||31|797|7.4||
|Dolidze 22|06 23 14|+04 35.4|0.16|||122|1775|8.37||
|Dolidze 23|06 42 38|+00 06.0|0.21|||189|1195|8.65||
|Dolidze 24|06 44 44|+01 44.1|0.14|||91|1261|8.45||
|Dolidze 28|18 25 29|-14 39.0|0.15|0.60||114|1258|8.25||
|Dolidze 29|18 31 24|-06 38.0|0.23|||225|1460|7.5||
|Dolidze 3|20 15 25|+36 48.9|0.16|||246|1032|8.29|0.020|
|Dolidze 30|18 32 53|-06 02.1|0.1|||40|1569|8.95||
|Dolidze 32|18 41 13|-04 02.1|0.17|14.00||54|1381|6.0||
|Dolidze 33|18 41 14|-04 22.4|0.14|||97|1930|7.3||
|Dolidze 34|18 41 54|-04 16.0|0.075|7.00||37|1422|7.95||
|Dolidze 35|19 25 25|+11 38.1|0.105|||111|1317|8.3||
|Dolidze 36|20 02 28|+42 09.9|0.11|77.00|14.10|51|970|8.92||
|Dolidze 37|20 02 51|+37 39.0|0.19|||90|1400|7.585||
|Dolidze 38|20 05 53|+41 11.7|0.205|||242|1532|9.165|0.001|
|Dolidze 39|20 16 12|+37 52.8|0.165|||193|1916|9.05||
|Dolidze 42|20 19 37|+38 08.5|0.105|||111|1239|7.525||
|Dolidze 44|20 29 47|+41 38.1|0.2|||105|1499|8.155||
|Dolidze 46|23 22 03|+55 44.7|0.11|||71|1450|8.412||
|Dolidze 5|20 20 09|+39 19.2|0.13|-35.00||163|969|8.1||
|Dolidze 50|16 05 37|-20 29.1|0.125|||29|1546|9.4||
|Dolidze 51|18 10 24|-17 44.5|0.105|||26|1423|8.2||
|Dolidze 52|18 23 55|-16 38.4|0.13|||48|1318|7.3||
